monterey,"(24402.557522123894, 19999.0)"
humboldt,"(9119.5581395348836, 4500.0)"
fresno,"(16388.661202185791, 8500.0)"
merced,"(16621.291457286432, 12500.0)"
reno,"(13972.638095238095, 9800.0)"
san luis obispo,"(15994.226851851852, 12000.0)"
modesto,"(21794.379310344826, 13500.0)"
roseburg,"(19457.620689655174, 12000.0)"
yuba-sutter,"(16110.023364485982, 13950.0)"
stockton,"(17617.863157894735, 7750.0)"
orange co,"(24968.203703703704, 7900.0)"
mendocino co,"(17663.738317757008, 7747.5)"
santa maria,"(17704.769953051644, 8800.0)"
sacramento,"(24611.466666666667, 9500.0)"
visalia-tulare,"(12549.648351648351, 7100.0)"
klamath falls,"(20663.063725490196, 11000.0)"
palm springs,"(27154.150485436894, 5750.0)"
siskiyou co,"(13334.141592920354, 6500.0)"
gold country,"(12760.758293838862, 9989.0)"
bakersfield,"(19847.970588235294, 11985.0)"
susanville,"(13690.210045662101, 8000.0)"
inland empire,"(9782.0625, 4000.0)"
hanford,"(15562.764705882353, 8500.0)"
chico,"(19230.094594594593, 9125.0)"
ventura,"(26931.022421524664, 14500.0)"
las vegas,"(25598.235576923078, 11500.0)"
los angeles,"(15399.66028708134, 10000.0)"
redding,"(20934.97685185185, 14000.0)"
santa barbara,"(19914.253886010363, 12000.0)"
medford,"(15468.356756756757, 5000.0)"
